Nombre,Resumen Editorial,Tipo de Resumen,API Utilizada,Calificación,Total de Reseñas,Dirección,Teléfono,Latitud,Longitud,Distancia (km),URL de Google Maps,Sitio Web,Horarios,Nivel de Precios,Número de Fotos,Comentarios,Comentarios_Analizados,Sentimiento_Positivo,Sentimiento_Negativo,Sentimiento_Neutral,Porcentaje_Positivos,Porcentaje_Negativos,Porcentaje_Neutrales,Score_Sentimiento_Promedio,Categoria_Sentimiento,NPS_Score,NPS_Categoria
"""EL MOLINO"" Taqueria y torteria","""EL MOLINO"" Taqueria y torteria es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Cuenta con 117 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.3,117.0,"Hecelchakán Mz 5-Lt 12, Cultura Maya, Tlalpan, 14230 Ciudad de México, CDMX",55 5630 2350,19.2770016,-99.2225905,7.24,https://maps.google.com/?cid=8670940074848625236,,domingo: 3:00 a.m. – 2:00 a.m.; lunes: 3:00 a.m. – 2:00 a.m.; martes: Cerrado; miércoles: 3:00 a.m. – 2:00 a.m.; jueves: 3:00 a.m. – 2:00 a.m.; viernes: 3:00 a.m. – 2:00 a.m.; sábado: 3:00 a.m. – 2:00 a.m.,,10,"Tuve la oportunidad de ir dos veces a la taqueria y las dos veces el trato fue excelente, el tiempo de preparación de los platillos es rápido tomando en cuenta la cantidad de gente que tienen, y la comida es muy rica, basta y sobre todo variada, ya que tienen platillos para todos los gustos.
Recomiendo mucho el pastor en cualquiera de sus preparaciones, es muy bueno, también recomiendo la sopa azteca y las aguas de fruta natural. | Excelente buen precio ricos trato muy bueno … 200% recomendables | He probado varias cosas del menú pero creo que lo que más vale la pena es el pastor en todas sus presentaciones, tiene las 3B, el servicio es rápido, creo que lo único que puedo reprochar es que el local no se ve muy limpio pero hasta ahora no me ha pasado nada en el estomago xd. De precios esta muy bien y creo que es un gran lugar porque cierra bastante tarde. Sin duda unos buenos tacos. | Excelente opción, buena atención del personal y no se diga de todo eh probado 10 de 10.
💯 % Recomendable | Muy caro ya comida sin sabor y nos atendieron de mala gana una vez hicimos un pedido a domicilio y nunca llegó marcabamos y decían que el pedido iba en camino y el dichoso pedido nunca llegó no pierdan su tiempo hay mejores taquerias y a mejor precio yo les recomendaría la Taquería Vico.",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
TAQUERIA Benitaco,"TAQUERIA Benitaco es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios muy económicos y 418 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.1,418.0,"Cedral 215B, Ejidos de San Pedro Martir, San Andrés Totoltepec, Tlalpan, 14400 Ciudad de México, CDMX",55 4404 3299,19.2701686,-99.1597188,2.26,https://maps.google.com/?cid=15839921970031477663,,"domingo: 12:00 a.m. – 1:00 p.m., 6:30 p.m. – 12:00 a.m.; lunes: 12:00 a.m. – 1:00 p.m., 6:30 p.m. – 12:00 a.m.; martes: 12:00 a.m. – 1:00 p.m., 6:30 p.m. – 12:00 a.m.; miércoles: 12:00 a.m. – 1:00 p.m., 6:30 p.m. – 12:00 a.m.; jueves: 12:00 a.m. – 1:00 p.m., 6:30 p.m. – 12:00 a.m.; viernes: 12:00 a.m. – 1:00 p.m., 6:30 p.m. – 12:00 a.m.; sábado: 12:00 a.m. – 1:00 p.m., 6:30 p.m. – 12:00 a.m.",$$,10,"Muy ricos los tacos, te los sirven rápido y la salsa roja, perdón NARANJA está brava 🔥 La verde está más tranquila, pero también está buena. Aceptan pago con tarjeta pero la factura se las deben 🤭 Estacionamiento, pues allá enfrente en el Aurrera Exprés o en la calle.

Cómo es el típico antojo chilango, con hambre son muy recomendable. | Me gusta mucho la carta de este lugar tiene mucha variedad desde qusadilas, tacos, pozole comida muy mexicana | Los tacos son lo más nefasto que he comprado en la zona, la carne está llena de gordos y los disimulan con lo pintado de la carne, agregando que la carne no es de ese día, la señora toma pésimo la orden y si te pueden te van cobrar cosas que no pediste, no tienen ningún estándar de calidad, son muy sucios para el manejo de los alimentos como de quien se encarga a cobrar. | Para un antojo de viernes por la noche está bien, la carne de pastor es buena.  Podría mejorar que el personal use cofia y que se note más la limpieza del lugar. Yo creo por eso mucha gente pide para llevar. | Es una taquería sencilla, pero el servicio es bueno, tienen una promoción de 2x1 en tacos los miércoles, y de 2x1 en domingo para tacos de pastor.
Tienen el sabor tradicional de los tacos, no son sobresalientes pero son buenos tacos.
Lo mejor es que se esmeran en dar una buena atención, eso debe resaltarse.

Es recomendable por supuesto.",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
• Taqueria el guero •,• Taqueria el guero • se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),5.0,9.0,"Ática MZ100 LT13, Belvedere, Tlalpan, 14720 Ciudad de México, CDMX",,19.2688471,-99.2266241,7.88,https://maps.google.com/?cid=18308793603114331666,,domingo: 12:00–9:30 a.m.; lunes: Cerrado; martes: 5:30 p.m. – 12:00 a.m.; miércoles: Abierto las 24 horas; jueves: Abierto las 24 horas; viernes: Abierto las 24 horas; sábado: Abierto las 24 horas,,10,"Excelente lugar para disfrutar unos deliciosos tacos, buen precio y calidad. Buena atención al cliente. Definitivamente recomiendo este lugar. | Muy buenos tacos, buen precio y excelente servicio | Muy ricas las tortas de las mejores del rumbo trato amable | Los mejores tacos del rumbo | ",4,4,0,0,100.0,0.0,0.0,0.958,Muy Positivo,100.0,Excelente
"TAQUERÍA ""EL MIRADOR""","TAQUERÍA ""EL MIRADOR"" se destaca por la calidad de sus tacos y el buen servicio al cliente.",Generado Automáticamente,Places API (Legacy),5.0,2.0,"Cultura Maya O López Portillo, Tlalpan, 14230 Ciudad de México, CDMX",,19.2757563,-99.2227829,7.29,https://maps.google.com/?cid=6049606207126769826,,domingo: Cerrado; lunes: 8:30 a.m. – 5:30 p.m.; martes: 8:30 a.m. – 5:30 p.m.; miércoles: 8:30 a.m. – 5:30 p.m.; jueves: 8:30 a.m. – 5:30 p.m.; viernes: 8:30 a.m. – 5:30 p.m.; sábado: 8:30 a.m. – 5:30 p.m.,,3,Estos tacos rifan!! 👌🏼 | ,1,0,0,1,0.0,0.0,100.0,0.0,Neutral,0.0,Pasivo
Taqueria Pedregal “Bertín”,Taqueria Pedregal “Bertín” se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),4.4,44.0,"Sotuta 14, Pedregal de San Nicolás 4ta Secc, Tlalpan, 14100 Ciudad de México, CDMX",,19.2799614,-99.2330626,8.27,https://maps.google.com/?cid=5000207417360255196,,,,0,"Los tacos pequeños para su precio,la cantidad de carne es poca y sus papás no son ni fritas ni hervidas son un término que no había probado, pequeños cubos sofritos, la salsa es muy buena ( la roja) pero si el  personal si da que desear en concreto una sra que apoya ,ya que si le pides algo entra dentro del local y no pasa  la peticion ,sus aguas muy buenas a excepción de la de Jamaica está sin sabor es la Jamaica cocida concentrada sin casi azucar . | Yo compré una torta de pollo con pastor y la verdad me sorprendió, muy buen tamaño, buenísima porción y relación precio super super accesible, me parece cierran hasta las 3am

Denise una vuelta...los taquitos al pastor super ricos

Poco a poco irán creciendo lo sé | Los mejores tacos de suadero del sur sin lugar a dudas. 💯👍🏽 | Buena variedad de tacos al dos por uno y si gustas tienen especiales de la casa, con ambiente familiar si te gustan los auténticos tacos de barrio. | Tacos de buen sabor, con salsas también buenas, además de buen servicio y lo mejor el precio.",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
Cocina y Taqueria Eliza,Cocina y Taqueria Eliza se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),4.3,7.0,"CDA CERRO PAPAXTLA MZA9 LT11, María Esther Zuno de Echeverría, Tlalpan, 14659 Ciudad de México, CDMX",55 7761 3712,19.2547027,-99.1808205,4.77,https://maps.google.com/?cid=9761660316260791694,,domingo: 2:00–11:30 p.m.; lunes: 8:00 a.m. – 11:30 p.m.; martes: 8:00 a.m. – 11:30 p.m.; miércoles: 8:00 a.m. – 11:30 p.m.; jueves: 8:00 a.m. – 11:30 p.m.; viernes: 8:00 a.m. – 11:30 p.m.; sábado: 8:00 a.m. – 11:30 p.m.,,10,"Son muy amables y atentos y la comida muy rica y basta.
Con dos quesadillas ya no tienes dónde poner los taquitos 😁😁😁😁 | Es el Lugar dónde se cocinan los Platillos Mexicanos más Ricos, para chuparse los dedos, no se queden con las Ganas! | Muy rica la comida y con gran variedad entre semana, el fin hay pozole y quesadilla, rico sazón |  | ",3,3,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
"Taqueria ""El Cuñado""","Taqueria ""El Cuñado"" es una opción sólida para tacos, con buenas calificaciones de sus visitantes.",Generado Automáticamente,Places API (Legacy),4.3,59.0,"Mariano Matamoros, San Miguel Ajusco, Tlalpan, 14700 San Miguel Ajusco, CDMX",,19.2263929,-99.2020323,8.63,https://maps.google.com/?cid=11371926938633657265,,,,1,"Buen lugar para comerte unos ricos tacos de lo que sea muy buen servicio en concreto excelente | Excelente servicio buen ambiente y los tacos mmmm sabroso | Ricos, bien servidos, excelente atención, y rápida excepto cuando ay mucha clientela claro, eso demuestra lo ricos que están. | Pequeños, mal servidos y caros para lo que son

Ni idea si solo atienden así de noche en el horario de los borrachos, pero nunca volví. | Están ricos los tacos, pero deberían de mejorar el servicio ya que tardan mucho en atenderte y parece que siempre están de malas los que te atienden.",5,3,1,1,60.0,20.0,20.0,0.4,Positivo,40.0,Bueno
FAT BOY TACOS,FAT BOY TACOS se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),4.2,9.0,"Amado Nervo & carretera Picacho Ajusco, Jardines del Ajusco, Tlalpan, 14200 Ciudad de México, CDMX",56 4742 9337,19.2796767,-99.212358,6.13,https://maps.google.com/?cid=9108870178426895911,,domingo: 9:00 a.m. – 3:00 p.m.; lunes: 9:00 a.m. – 3:00 p.m.; martes: 9:00 a.m. – 3:00 p.m.; miércoles: 9:00 a.m. – 3:00 p.m.; jueves: 9:00 a.m. – 3:00 p.m.; viernes: 9:00 a.m. – 3:00 p.m.; sábado: 9:00 a.m. – 3:00 p.m.,,10,"Hice mi pedido desde Uber Eats y lo recomiendo, buen precio y llenador. Pedí:

Gordita de chicharrón y gordita de suadero: súper llenadoras, grandes, y muy bien preparadas (no están masudas) suadero rico.

Huarache campechano y huarache de arrachera: rellenos de frijol, muy llenadores, les ponen aguacate.

Taco de costilla: Doble tortilla grande, costilla con mucho sabor, vale la pena.

Torta combinada: No increíble pero si decente.

Hamburguesa doble: No tenía muchas esperanzas pero me sorprendió... Si a la carne le pusieran más ajo de lo que ya le ponen sería WOWWWW

Plátanos machos: Calientitos, acabados de hacer y súper bien preparados 10/10 | Está terrible que pongan imágenes creadas con inteligencia artificial para mostrar sus productos en las aplicaciones de envíos. | Tiene las 3 b . bueno , bonito y barato. Tacos de Pastor recomendados, excelente atención | Excelente atención
Un sabor exquisito

Recomiendo las gorditas de suadero y los tacos al pastor | Excelente lugar, la comida muy deliciosa y basta, con excelente atención.
100% recomendable",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
Tacos Los Coyotes,Tacos Los Coyotes se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),4.7,3.0,"Volcán Fernandina 7, Temaxtitla, Tlalpan, 14429 Ciudad de México, CDMX",,19.2711091,-99.1840105,3.7,https://maps.google.com/?cid=14359592520928156669,,domingo: Cerrado; lunes: 10:00 a.m. – 8:00 p.m.; martes: 10:00 a.m. – 8:00 p.m.; miércoles: 10:00 a.m. – 8:00 p.m.; jueves: 10:00 a.m. – 8:00 p.m.; viernes: 10:00 a.m. – 8:00 p.m.; sábado: 10:00 a.m. – 8:00 p.m.,,0, |  | ,0,0,0,0,0.0,0.0,0.0,0.0,Sin Datos,0.0,Sin Datos
Tacos vero,Tacos vero se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),5.0,2.0,"Mariano Matamoros 347a, Tlalpan, 14000 Ciudad de México, CDMX",,19.2796888,-99.1673412,1.73,https://maps.google.com/?cid=12143054135320448115,,domingo: 7:00 p.m. – 12:00 a.m.; lunes: 7:00 a.m. – 5:00 p.m.; martes: 7:00 a.m. – 5:00 p.m.; miércoles: 7:00 a.m. – 5:00 p.m.; jueves: 7:00 a.m. – 5:00 p.m.; viernes: 7:00 a.m. – 5:00 p.m.; sábado: 7:00 a.m. – 5:00 p.m.,,5,Comida con las 3B. Amables y eficientes | ,1,1,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
